capa_id,investigation_id,capa_number,action_type,owner_function,due_date,status,effectiveness
2561,6045,CAPA-002561,Corrective,MSAT,2025-09-03,Closed,Monitoring
2562,4261,CAPA-002562,Preventive,MSAT,2026-08-02,Closed,Not Assessed
2563,11849,CAPA-002563,Preventive,Manufacturing,2024-09-14,Open,Monitoring
2564,5826,CAPA-002564,Corrective,MSAT,2026-02-04,Closed,Effective
2565,9887,CAPA-002565,Corrective and Preventive,Manufacturing,2025-12-11,Open,Effective
2566,5764,CAPA-002566,Corrective,Laboratory,2025-03-07,Closed,Effective
2567,7616,CAPA-002567,Corrective,MSAT,2025-07-02,Closed,Effective
2568,10902,CAPA-002568,Corrective,Laboratory,2026-02-24,Closed,Effective
2569,8008,CAPA-002569,Preventive,Laboratory,2024-08-21,Closed,Effective
2570,5057,CAPA-002570,Corrective,Supplier Quality,2026-02-15,Closed,Monitoring
2571,10729,CAPA-002571,Corrective and Preventive,Laboratory,2026-07-22,Closed,Effective
2572,10915,CAPA-002572,Corrective and Preventive,MSAT,2025-04-03,Closed,Not Assessed
2573,3980,CAPA-002573,Preventive,Quality,2025-09-15,Closed,Effective
2574,2826,CAPA-002574,Corrective and Preventive,Supplier Quality,2026-04-08,Closed,Not Assessed
2575,3728,CAPA-002575,Preventive,Manufacturing,2026-02-19,Closed,Effective
2576,4928,CAPA-002576,Corrective and Preventive,Laboratory,2024-07-05,Monitoring,Effective
2577,3667,CAPA-002577,Corrective and Preventive,Quality,2026-10-24,Closed,Effective
2578,11737,CAPA-002578,Corrective,MSAT,2024-11-23,Closed,Effective
2579,3518,CAPA-002579,Corrective and Preventive,Manufacturing,2025-03-20,Closed,Ineffective
2580,10615,CAPA-002580,Corrective,Quality,2026-10-03,Monitoring,Effective
2581,9414,CAPA-002581,Corrective and Preventive,Supplier Quality,2024-11-11,Closed,Effective
2582,3649,CAPA-002582,Preventive,Laboratory,2025-03-06,Closed,Effective
2583,5585,CAPA-002583,Corrective and Preventive,Supplier Quality,2025-02-13,Monitoring,Effective
2584,2907,CAPA-002584,Preventive,Quality,2024-09-04,Closed,Effective
2585,8841,CAPA-002585,Corrective and Preventive,Manufacturing,2024-09-17,Closed,Effective
2586,7362,CAPA-002586,Corrective,Laboratory,2025-11-16,Closed,Effective
2587,4919,CAPA-002587,Corrective,Supplier Quality,2024-07-10,Open,Not Assessed
2588,2648,CAPA-002588,Corrective and Preventive,MSAT,2024-10-28,Monitoring,Effective
2589,667,CAPA-002589,Corrective,Quality,2025-03-18,Closed,Effective
2590,8211,CAPA-002590,Corrective,Laboratory,2025-06-04,Closed,Effective
2591,10403,CAPA-002591,Corrective and Preventive,Supplier Quality,2025-05-13,Closed,Not Assessed
2592,1614,CAPA-002592,Corrective,Quality,2026-07-19,Closed,Monitoring
2593,3859,CAPA-002593,Corrective and Preventive,Manufacturing,2024-11-05,Monitoring,Effective
2594,5793,CAPA-002594,Corrective and Preventive,Quality,2026-09-06,Open,Effective
2595,10540,CAPA-002595,Corrective and Preventive,Laboratory,2026-01-28,Monitoring,Effective
2596,10787,CAPA-002596,Corrective,Laboratory,2026-01-19,Closed,Effective
2597,5525,CAPA-002597,Preventive,Manufacturing,2025-07-04,Closed,Effective
2598,7594,CAPA-002598,Corrective and Preventive,Laboratory,2026-06-25,Closed,Effective
2599,11686,CAPA-002599,Preventive,Manufacturing,2025-10-08,Closed,Monitoring
2600,6147,CAPA-002600,Preventive,Supplier Quality,2025-11-30,Closed,Monitoring
2601,4944,CAPA-002601,Preventive,Manufacturing,2024-10-31,Closed,Ineffective
2602,6685,CAPA-002602,Preventive,MSAT,2026-03-25,Closed,Effective
2603,515,CAPA-002603,Preventive,Quality,2025-12-15,Closed,Effective
2604,5869,CAPA-002604,Corrective,Manufacturing,2026-10-07,Closed,Effective
2605,1353,CAPA-002605,Corrective,MSAT,2025-09-26,Closed,Effective
2606,5402,CAPA-002606,Preventive,Quality,2026-03-18,Monitoring,Effective
2607,5995,CAPA-002607,Corrective and Preventive,Laboratory,2025-02-10,Closed,Not Assessed
2608,8885,CAPA-002608,Corrective and Preventive,Laboratory,2026-01-04,Closed,Monitoring
2609,2323,CAPA-002609,Corrective,Manufacturing,2024-10-17,Monitoring,Monitoring
2610,11954,CAPA-002610,Corrective,MSAT,2025-07-12,Open,Effective
2611,6913,CAPA-002611,Corrective,Supplier Quality,2024-07-12,Closed,Effective
2612,9466,CAPA-002612,Corrective and Preventive,Supplier Quality,2025-05-28,Closed,Effective
2613,3626,CAPA-002613,Corrective,MSAT,2025-07-19,Closed,Effective
2614,1547,CAPA-002614,Corrective and Preventive,Laboratory,2026-09-25,Closed,Effective
2615,11471,CAPA-002615,Corrective,Quality,2025-09-08,Open,Effective
2616,1645,CAPA-002616,Preventive,Supplier Quality,2024-06-25,Closed,Effective
2617,10962,CAPA-002617,Corrective,Quality,2026-03-06,Closed,Monitoring
2618,1038,CAPA-002618,Corrective,Laboratory,2025-04-05,Monitoring,Effective
2619,8998,CAPA-002619,Preventive,Laboratory,2025-08-13,Closed,Ineffective
2620,486,CAPA-002620,Corrective and Preventive,Quality,2024-07-15,Closed,Monitoring
2621,11205,CAPA-002621,Corrective and Preventive,MSAT,2024-08-16,Closed,Not Assessed
2622,8382,CAPA-002622,Corrective and Preventive,Laboratory,2026-10-26,Closed,Monitoring
2623,4066,CAPA-002623,Corrective,Quality,2024-06-18,Open,Effective
2624,5881,CAPA-002624,Corrective and Preventive,Quality,2024-10-15,Monitoring,Effective
2625,698,CAPA-002625,Preventive,Quality,2026-03-24,Open,Not Assessed
2626,3702,CAPA-002626,Preventive,Supplier Quality,2026-09-28,Closed,Effective
2627,2815,CAPA-002627,Preventive,Laboratory,2025-07-20,Open,Effective
2628,5212,CAPA-002628,Preventive,Quality,2025-11-15,Closed,Effective
2629,1437,CAPA-002629,Corrective and Preventive,Manufacturing,2026-05-05,Open,Effective
2630,9346,CAPA-002630,Corrective,Laboratory,2025-07-16,Monitoring,Effective
2631,9268,CAPA-002631,Corrective,Supplier Quality,2025-07-03,Closed,Effective
2632,11246,CAPA-002632,Preventive,Quality,2026-08-14,Closed,Effective
2633,5686,CAPA-002633,Preventive,Laboratory,2026-07-07,Monitoring,Not Assessed
2634,9138,CAPA-002634,Corrective,Quality,2025-09-10,Monitoring,Not Assessed
2635,6855,CAPA-002635,Corrective,Supplier Quality,2026-08-05,Open,Effective
2636,4886,CAPA-002636,Corrective and Preventive,Supplier Quality,2025-09-21,Monitoring,Effective
2637,10653,CAPA-002637,Corrective and Preventive,Manufacturing,2025-02-27,Open,Effective
2638,1838,CAPA-002638,Corrective and Preventive,MSAT,2026-08-07,Closed,Monitoring
2639,7403,CAPA-002639,Preventive,Quality,2024-07-06,Closed,Not Assessed
2640,10672,CAPA-002640,Corrective,Supplier Quality,2025-12-13,Closed,Not Assessed
2641,7196,CAPA-002641,Corrective and Preventive,Quality,2024-06-14,Closed,Not Assessed
2642,7489,CAPA-002642,Preventive,Supplier Quality,2026-05-22,Closed,Effective
2643,6232,CAPA-002643,Corrective,Supplier Quality,2026-07-18,Monitoring,Effective
2644,11991,CAPA-002644,Corrective and Preventive,Manufacturing,2026-01-27,Closed,Effective
2645,9903,CAPA-002645,Corrective and Preventive,Quality,2024-08-24,Closed,Effective
2646,2385,CAPA-002646,Preventive,Laboratory,2026-09-19,Monitoring,Effective
2647,4751,CAPA-002647,Corrective,Quality,2026-05-21,Closed,Effective
2648,11891,CAPA-002648,Corrective and Preventive,Supplier Quality,2025-09-26,Closed,Monitoring
2649,5808,CAPA-002649,Preventive,Laboratory,2025-12-27,Closed,Effective
2650,10195,CAPA-002650,Preventive,Quality,2025-05-31,Closed,Monitoring
2651,1821,CAPA-002651,Preventive,Supplier Quality,2026-07-12,Closed,Effective
2652,3540,CAPA-002652,Corrective,Laboratory,2025-02-04,Closed,Not Assessed
2653,5769,CAPA-002653,Preventive,Laboratory,2026-06-23,Closed,Effective
2654,1704,CAPA-002654,Corrective,Laboratory,2024-11-19,Monitoring,Effective
2655,4357,CAPA-002655,Corrective and Preventive,Quality,2026-11-03,Open,Effective
2656,4674,CAPA-002656,Corrective,Quality,2025-07-24,Open,Effective
2657,11461,CAPA-002657,Corrective and Preventive,Laboratory,2025-10-25,Open,Not Assessed
2658,4860,CAPA-002658,Preventive,Quality,2025-11-20,Monitoring,Effective
2659,3481,CAPA-002659,Corrective and Preventive,Quality,2025-05-28,Monitoring,Monitoring
2660,1981,CAPA-002660,Corrective and Preventive,MSAT,2026-09-01,Closed,Not Assessed
2661,5370,CAPA-002661,Corrective and Preventive,Supplier Quality,2025-02-27,Closed,Effective
2662,11996,CAPA-002662,Preventive,Manufacturing,2025-05-29,Monitoring,Monitoring
2663,7680,CAPA-002663,Corrective and Preventive,Supplier Quality,2026-05-17,Closed,Effective
2664,8911,CAPA-002664,Preventive,Manufacturing,2025-04-13,Closed,Effective
2665,11463,CAPA-002665,Corrective and Preventive,MSAT,2026-06-14,Closed,Not Assessed
2666,8240,CAPA-002666,Corrective and Preventive,Laboratory,2026-10-25,Closed,Ineffective
2667,10402,CAPA-002667,Corrective and Preventive,Supplier Quality,2026-01-25,Closed,Effective
2668,5227,CAPA-002668,Corrective and Preventive,Quality,2024-12-21,Open,Not Assessed
2669,7667,CAPA-002669,Corrective,Manufacturing,2026-08-09,Closed,Effective
2670,2406,CAPA-002670,Corrective,Laboratory,2025-09-12,Monitoring,Monitoring
2671,4599,CAPA-002671,Corrective,Manufacturing,2026-03-17,Closed,Effective
2672,7243,CAPA-002672,Corrective and Preventive,Supplier Quality,2026-10-02,Monitoring,Effective
2673,639,CAPA-002673,Corrective and Preventive,Manufacturing,2026-10-29,Closed,Effective
2674,11692,CAPA-002674,Corrective and Preventive,Laboratory,2024-06-24,Closed,Ineffective
2675,8738,CAPA-002675,Corrective and Preventive,Manufacturing,2024-06-06,Open,Effective
2676,1747,CAPA-002676,Preventive,Laboratory,2024-11-26,Closed,Monitoring
2677,4107,CAPA-002677,Corrective and Preventive,Supplier Quality,2026-08-23,Closed,Effective
2678,1012,CAPA-002678,Preventive,Manufacturing,2026-04-03,Closed,Effective
2679,1181,CAPA-002679,Preventive,Manufacturing,2026-07-22,Monitoring,Monitoring
2680,9541,CAPA-002680,Preventive,Supplier Quality,2025-04-27,Open,Not Assessed
2681,10097,CAPA-002681,Preventive,Quality,2026-02-11,Open,Not Assessed
2682,2342,CAPA-002682,Corrective and Preventive,MSAT,2025-11-16,Closed,Effective
2683,8160,CAPA-002683,Corrective,Supplier Quality,2025-06-07,Closed,Effective
2684,7287,CAPA-002684,Corrective and Preventive,Manufacturing,2024-06-16,Closed,Monitoring
2685,7570,CAPA-002685,Corrective and Preventive,Quality,2024-09-20,Open,Not Assessed
2686,11370,CAPA-002686,Preventive,Manufacturing,2026-01-31,Closed,Effective
2687,847,CAPA-002687,Corrective and Preventive,MSAT,2025-10-22,Closed,Effective
2688,9506,CAPA-002688,Corrective and Preventive,Supplier Quality,2024-09-08,Monitoring,Monitoring
2689,8602,CAPA-002689,Corrective and Preventive,Laboratory,2025-04-09,Closed,Effective
2690,11881,CAPA-002690,Corrective,Manufacturing,2026-09-28,Closed,Monitoring
2691,2245,CAPA-002691,Corrective and Preventive,Laboratory,2026-02-12,Closed,Effective
2692,9519,CAPA-002692,Preventive,Laboratory,2024-06-11,Closed,Effective
2693,6256,CAPA-002693,Preventive,Supplier Quality,2025-04-11,Closed,Effective
2694,864,CAPA-002694,Corrective and Preventive,Manufacturing,2025-07-26,Closed,Not Assessed
2695,4412,CAPA-002695,Preventive,Quality,2024-11-17,Open,Effective
2696,9992,CAPA-002696,Preventive,Supplier Quality,2024-06-13,Closed,Effective
2697,8295,CAPA-002697,Preventive,Quality,2026-02-19,Closed,Effective
2698,10216,CAPA-002698,Corrective and Preventive,Laboratory,2025-08-28,Closed,Effective
2699,4675,CAPA-002699,Corrective and Preventive,MSAT,2026-11-09,Closed,Ineffective
2700,11339,CAPA-002700,Corrective,Supplier Quality,2025-08-22,Closed,Effective
2701,2161,CAPA-002701,Preventive,Supplier Quality,2024-12-08,Monitoring,Effective
2702,8719,CAPA-002702,Corrective and Preventive,MSAT,2025-08-21,Open,Effective
2703,4032,CAPA-002703,Corrective,Supplier Quality,2025-05-16,Open,Effective
2704,4067,CAPA-002704,Corrective,Laboratory,2026-05-19,Open,Monitoring
2705,5425,CAPA-002705,Corrective and Preventive,Manufacturing,2025-09-01,Closed,Effective
2706,10281,CAPA-002706,Preventive,Quality,2025-12-12,Monitoring,Monitoring
2707,9827,CAPA-002707,Corrective,MSAT,2026-02-16,Closed,Monitoring
2708,4366,CAPA-002708,Preventive,Manufacturing,2025-12-11,Open,Effective
2709,5693,CAPA-002709,Corrective and Preventive,Supplier Quality,2025-04-28,Closed,Ineffective
2710,7141,CAPA-002710,Corrective,MSAT,2026-03-01,Closed,Effective
2711,7658,CAPA-002711,Corrective,Supplier Quality,2025-09-15,Closed,Effective
2712,534,CAPA-002712,Preventive,Laboratory,2025-04-11,Closed,Effective
2713,2019,CAPA-002713,Corrective and Preventive,MSAT,2024-06-13,Closed,Not Assessed
2714,10878,CAPA-002714,Corrective and Preventive,MSAT,2026-11-02,Open,Effective
2715,627,CAPA-002715,Preventive,MSAT,2026-08-17,Monitoring,Not Assessed
2716,107,CAPA-002716,Preventive,Quality,2024-12-30,Monitoring,Monitoring
2717,9476,CAPA-002717,Preventive,Laboratory,2024-10-18,Closed,Monitoring
2718,4410,CAPA-002718,Preventive,MSAT,2026-02-08,Open,Not Assessed
2719,370,CAPA-002719,Corrective,Supplier Quality,2025-10-09,Closed,Not Assessed
2720,10830,CAPA-002720,Preventive,Supplier Quality,2024-09-14,Closed,Effective
2721,3684,CAPA-002721,Corrective and Preventive,MSAT,2025-02-23,Closed,Effective
2722,2034,CAPA-002722,Preventive,Supplier Quality,2024-08-29,Closed,Not Assessed
2723,6165,CAPA-002723,Corrective and Preventive,Manufacturing,2026-03-09,Closed,Monitoring
2724,2957,CAPA-002724,Corrective and Preventive,MSAT,2024-10-07,Closed,Monitoring
2725,1103,CAPA-002725,Corrective,Manufacturing,2025-04-06,Open,Monitoring
2726,8515,CAPA-002726,Corrective,Supplier Quality,2026-03-07,Open,Effective
2727,6331,CAPA-002727,Preventive,Laboratory,2024-06-22,Open,Effective
2728,10193,CAPA-002728,Corrective,MSAT,2026-02-22,Closed,Not Assessed
2729,7155,CAPA-002729,Preventive,MSAT,2026-10-15,Closed,Ineffective
2730,5580,CAPA-002730,Corrective and Preventive,Laboratory,2026-11-12,Closed,Effective
2731,10257,CAPA-002731,Corrective,Manufacturing,2026-11-11,Monitoring,Effective
2732,11958,CAPA-002732,Corrective and Preventive,Supplier Quality,2026-07-02,Closed,Effective
2733,4535,CAPA-002733,Preventive,Laboratory,2026-09-15,Closed,Monitoring
2734,8388,CAPA-002734,Preventive,Quality,2024-12-23,Closed,Monitoring
2735,11171,CAPA-002735,Corrective,Supplier Quality,2025-07-22,Closed,Not Assessed
2736,8226,CAPA-002736,Preventive,Quality,2025-05-26,Closed,Effective
2737,8468,CAPA-002737,Corrective,Supplier Quality,2026-06-14,Closed,Effective
2738,7777,CAPA-002738,Corrective and Preventive,Supplier Quality,2025-10-27,Monitoring,Monitoring
2739,10912,CAPA-002739,Preventive,Quality,2025-07-23,Closed,Effective
2740,4972,CAPA-002740,Corrective,MSAT,2024-08-12,Closed,Monitoring
2741,8581,CAPA-002741,Corrective,MSAT,2025-03-22,Closed,Effective
2742,11253,CAPA-002742,Corrective,Quality,2025-11-17,Open,Effective
2743,10969,CAPA-002743,Corrective,MSAT,2026-10-31,Closed,Monitoring
2744,1470,CAPA-002744,Corrective and Preventive,Quality,2025-12-02,Closed,Monitoring
2745,10167,CAPA-002745,Preventive,Supplier Quality,2024-06-13,Closed,Ineffective
2746,9033,CAPA-002746,Preventive,Laboratory,2025-12-03,Open,Not Assessed
2747,11052,CAPA-002747,Preventive,Manufacturing,2024-11-21,Closed,Effective
2748,5522,CAPA-002748,Corrective,Manufacturing,2024-10-10,Closed,Ineffective
2749,6716,CAPA-002749,Corrective and Preventive,MSAT,2026-01-27,Closed,Not Assessed
2750,10075,CAPA-002750,Corrective,Manufacturing,2025-12-28,Monitoring,Not Assessed
2751,3988,CAPA-002751,Preventive,Manufacturing,2025-07-25,Closed,Effective
2752,3421,CAPA-002752,Preventive,Quality,2024-12-17,Closed,Monitoring
2753,3684,CAPA-002753,Preventive,Laboratory,2024-12-03,Closed,Not Assessed
2754,3700,CAPA-002754,Preventive,MSAT,2024-08-23,Monitoring,Not Assessed
2755,4665,CAPA-002755,Corrective,Laboratory,2025-08-02,Monitoring,Effective
2756,2201,CAPA-002756,Corrective and Preventive,Manufacturing,2024-06-03,Closed,Monitoring
2757,11683,CAPA-002757,Corrective,Quality,2025-06-10,Closed,Monitoring
2758,6576,CAPA-002758,Preventive,MSAT,2025-07-03,Open,Monitoring
2759,11585,CAPA-002759,Corrective,MSAT,2025-05-09,Monitoring,Monitoring
2760,6231,CAPA-002760,Preventive,Quality,2026-04-04,Closed,Monitoring
2761,1325,CAPA-002761,Corrective and Preventive,Manufacturing,2025-08-22,Closed,Effective
2762,9790,CAPA-002762,Preventive,MSAT,2026-05-24,Closed,Not Assessed
2763,3598,CAPA-002763,Corrective and Preventive,Supplier Quality,2026-04-20,Closed,Effective
2764,5789,CAPA-002764,Corrective,Quality,2024-12-15,Monitoring,Effective
2765,8594,CAPA-002765,Corrective and Preventive,Supplier Quality,2024-06-10,Monitoring,Effective
2766,2650,CAPA-002766,Preventive,Manufacturing,2024-12-25,Closed,Not Assessed
2767,8774,CAPA-002767,Preventive,Laboratory,2026-05-15,Closed,Ineffective
2768,9585,CAPA-002768,Corrective,Quality,2026-10-10,Monitoring,Effective
2769,8386,CAPA-002769,Corrective and Preventive,Manufacturing,2026-10-02,Closed,Ineffective
2770,1909,CAPA-002770,Corrective and Preventive,Manufacturing,2025-09-08,Closed,Effective
2771,11605,CAPA-002771,Corrective,Manufacturing,2025-01-07,Monitoring,Monitoring
2772,6279,CAPA-002772,Corrective and Preventive,Manufacturing,2025-04-28,Closed,Not Assessed
2773,11381,CAPA-002773,Preventive,Laboratory,2025-10-12,Open,Ineffective
2774,4595,CAPA-002774,Preventive,Quality,2025-09-18,Monitoring,Ineffective
2775,3083,CAPA-002775,Corrective and Preventive,MSAT,2024-08-09,Closed,Not Assessed
2776,8508,CAPA-002776,Preventive,Supplier Quality,2025-02-05,Closed,Monitoring
2777,5245,CAPA-002777,Corrective and Preventive,Laboratory,2026-04-26,Open,Effective
2778,3397,CAPA-002778,Corrective,MSAT,2026-05-02,Monitoring,Monitoring
2779,6160,CAPA-002779,Preventive,Laboratory,2025-01-17,Closed,Monitoring
2780,10348,CAPA-002780,Corrective,Supplier Quality,2025-10-28,Closed,Effective
2781,631,CAPA-002781,Preventive,Supplier Quality,2025-04-14,Closed,Not Assessed
2782,10143,CAPA-002782,Corrective,Supplier Quality,2025-02-05,Open,Effective
2783,3209,CAPA-002783,Corrective,Supplier Quality,2024-10-15,Monitoring,Effective
2784,10008,CAPA-002784,Corrective,Manufacturing,2026-05-25,Closed,Effective
2785,11712,CAPA-002785,Corrective and Preventive,Manufacturing,2026-01-20,Monitoring,Not Assessed
2786,7549,CAPA-002786,Corrective and Preventive,Supplier Quality,2025-09-13,Closed,Ineffective
2787,10535,CAPA-002787,Corrective and Preventive,Quality,2026-07-07,Open,Effective
2788,10854,CAPA-002788,Preventive,Quality,2024-06-30,Open,Monitoring
2789,2844,CAPA-002789,Corrective and Preventive,MSAT,2025-06-18,Open,Effective
2790,8107,CAPA-002790,Preventive,Supplier Quality,2024-11-16,Closed,Effective
2791,4739,CAPA-002791,Corrective and Preventive,Supplier Quality,2026-06-08,Closed,Effective
2792,5983,CAPA-002792,Corrective,Quality,2024-08-06,Closed,Monitoring
2793,10306,CAPA-002793,Preventive,Quality,2025-10-30,Closed,Effective
2794,869,CAPA-002794,Preventive,Laboratory,2025-06-30,Closed,Not Assessed
2795,7712,CAPA-002795,Corrective and Preventive,Manufacturing,2025-08-18,Open,Monitoring
2796,4229,CAPA-002796,Corrective and Preventive,MSAT,2025-06-11,Open,Effective
2797,563,CAPA-002797,Preventive,Laboratory,2026-03-27,Monitoring,Effective
2798,2734,CAPA-002798,Corrective and Preventive,Supplier Quality,2025-08-01,Closed,Effective
2799,3960,CAPA-002799,Corrective and Preventive,Quality,2025-10-30,Closed,Not Assessed
2800,11018,CAPA-002800,Corrective,Laboratory,2026-08-22,Closed,Ineffective
2801,6811,CAPA-002801,Preventive,Laboratory,2024-07-28,Monitoring,Effective
2802,6043,CAPA-002802,Corrective and Preventive,Supplier Quality,2026-11-16,Monitoring,Effective
2803,7504,CAPA-002803,Corrective and Preventive,Supplier Quality,2025-06-02,Closed,Effective
2804,11173,CAPA-002804,Corrective,MSAT,2024-06-28,Closed,Effective
2805,6954,CAPA-002805,Preventive,MSAT,2026-06-20,Closed,Effective
2806,1410,CAPA-002806,Preventive,Laboratory,2025-02-16,Closed,Effective
2807,8497,CAPA-002807,Corrective,Manufacturing,2026-09-04,Open,Effective
2808,3548,CAPA-002808,Corrective and Preventive,MSAT,2025-09-13,Open,Effective
2809,3853,CAPA-002809,Preventive,Laboratory,2024-12-11,Closed,Effective
2810,8007,CAPA-002810,Corrective,Quality,2025-08-03,Closed,Monitoring
2811,10678,CAPA-002811,Preventive,MSAT,2025-04-14,Open,Effective
2812,4644,CAPA-002812,Corrective and Preventive,Supplier Quality,2025-02-20,Monitoring,Effective
2813,3535,CAPA-002813,Corrective and Preventive,Manufacturing,2025-01-06,Open,Monitoring
2814,3651,CAPA-002814,Corrective,Laboratory,2024-06-18,Monitoring,Monitoring
2815,3313,CAPA-002815,Preventive,Laboratory,2025-10-01,Open,Effective
2816,1388,CAPA-002816,Corrective,Quality,2024-09-04,Open,Effective
2817,5655,CAPA-002817,Preventive,MSAT,2025-11-09,Open,Effective
2818,1509,CAPA-002818,Preventive,Manufacturing,2025-05-26,Closed,Effective
2819,4563,CAPA-002819,Corrective,Laboratory,2026-05-30,Open,Not Assessed
2820,9720,CAPA-002820,Corrective and Preventive,Supplier Quality,2025-10-20,Closed,Ineffective
2821,6219,CAPA-002821,Corrective and Preventive,Manufacturing,2025-06-03,Closed,Monitoring
2822,730,CAPA-002822,Corrective,Laboratory,2024-11-11,Closed,Monitoring
2823,5236,CAPA-002823,Preventive,Manufacturing,2025-08-18,Monitoring,Effective
2824,435,CAPA-002824,Preventive,Manufacturing,2025-04-04,Closed,Effective
2825,9739,CAPA-002825,Corrective,Quality,2025-07-16,Open,Not Assessed
2826,43,CAPA-002826,Corrective and Preventive,Manufacturing,2025-07-28,Closed,Effective
2827,6071,CAPA-002827,Preventive,Manufacturing,2026-06-04,Open,Effective
2828,8214,CAPA-002828,Corrective,Supplier Quality,2025-10-15,Closed,Effective
2829,1673,CAPA-002829,Corrective and Preventive,Laboratory,2025-09-03,Closed,Effective
2830,9169,CAPA-002830,Corrective,Laboratory,2026-05-11,Closed,Effective
2831,3331,CAPA-002831,Corrective,Supplier Quality,2024-12-08,Closed,Effective
2832,7313,CAPA-002832,Preventive,Quality,2026-04-11,Monitoring,Effective
2833,10590,CAPA-002833,Corrective and Preventive,Quality,2026-07-29,Monitoring,Effective
2834,64,CAPA-002834,Corrective,Laboratory,2025-06-09,Closed,Monitoring
2835,10211,CAPA-002835,Preventive,Quality,2025-12-03,Closed,Ineffective
2836,1756,CAPA-002836,Corrective and Preventive,Quality,2026-03-15,Closed,Effective
2837,748,CAPA-002837,Corrective and Preventive,Supplier Quality,2025-07-05,Open,Monitoring
2838,8669,CAPA-002838,Corrective and Preventive,Supplier Quality,2026-10-29,Closed,Effective
2839,4700,CAPA-002839,Preventive,Supplier Quality,2025-02-22,Closed,Monitoring
2840,5289,CAPA-002840,Corrective,Manufacturing,2026-09-12,Closed,Not Assessed
2841,9877,CAPA-002841,Corrective,Supplier Quality,2026-01-01,Open,Effective
2842,6301,CAPA-002842,Corrective and Preventive,Manufacturing,2025-11-05,Closed,Effective
2843,6860,CAPA-002843,Corrective,Manufacturing,2026-07-15,Open,Monitoring
2844,2478,CAPA-002844,Corrective and Preventive,Supplier Quality,2026-11-01,Closed,Monitoring
2845,2363,CAPA-002845,Corrective,Manufacturing,2026-02-24,Closed,Ineffective
2846,2581,CAPA-002846,Preventive,Laboratory,2026-09-04,Closed,Effective
2847,10633,CAPA-002847,Preventive,Quality,2025-08-29,Closed,Effective
2848,9351,CAPA-002848,Corrective and Preventive,Manufacturing,2025-02-09,Closed,Effective
2849,886,CAPA-002849,Corrective and Preventive,Quality,2026-11-08,Closed,Effective
2850,774,CAPA-002850,Corrective and Preventive,Quality,2025-07-28,Closed,Effective
2851,6267,CAPA-002851,Corrective and Preventive,Laboratory,2025-07-21,Open,Not Assessed
2852,2784,CAPA-002852,Preventive,Quality,2025-04-03,Monitoring,Ineffective
2853,10021,CAPA-002853,Corrective and Preventive,Manufacturing,2024-12-18,Closed,Monitoring
2854,1296,CAPA-002854,Corrective and Preventive,Manufacturing,2025-04-18,Closed,Monitoring
2855,2355,CAPA-002855,Corrective,Supplier Quality,2026-03-02,Closed,Effective
2856,2858,CAPA-002856,Preventive,Manufacturing,2025-06-19,Open,Effective
2857,6160,CAPA-002857,Preventive,Laboratory,2025-11-01,Closed,Monitoring
2858,7658,CAPA-002858,Corrective and Preventive,Supplier Quality,2025-11-24,Closed,Effective
2859,6517,CAPA-002859,Corrective and Preventive,MSAT,2026-08-04,Closed,Effective
2860,9193,CAPA-002860,Corrective,Supplier Quality,2025-09-13,Monitoring,Effective
2861,1684,CAPA-002861,Corrective,Quality,2025-01-06,Closed,Effective
2862,1867,CAPA-002862,Preventive,Manufacturing,2024-12-10,Monitoring,Effective
2863,11814,CAPA-002863,Corrective,Quality,2025-03-27,Open,Effective
2864,10462,CAPA-002864,Corrective,Laboratory,2025-03-27,Closed,Monitoring
2865,8189,CAPA-002865,Preventive,Supplier Quality,2025-04-13,Open,Effective
2866,8691,CAPA-002866,Preventive,Manufacturing,2025-04-29,Closed,Effective
2867,10646,CAPA-002867,Corrective,Supplier Quality,2026-03-02,Monitoring,Ineffective
2868,1190,CAPA-002868,Corrective,Laboratory,2026-02-24,Closed,Not Assessed
2869,8607,CAPA-002869,Corrective and Preventive,MSAT,2025-04-16,Open,Ineffective
2870,11474,CAPA-002870,Preventive,Manufacturing,2025-07-24,Closed,Effective
2871,10322,CAPA-002871,Corrective,Laboratory,2024-07-11,Monitoring,Not Assessed
2872,3139,CAPA-002872,Corrective,Quality,2026-08-20,Open,Monitoring
2873,10081,CAPA-002873,Corrective,Supplier Quality,2024-06-20,Closed,Monitoring
2874,4277,CAPA-002874,Corrective and Preventive,Manufacturing,2026-02-11,Monitoring,Monitoring
2875,11345,CAPA-002875,Corrective,Supplier Quality,2024-10-04,Closed,Effective
2876,10184,CAPA-002876,Corrective and Preventive,MSAT,2025-07-12,Closed,Effective
2877,4103,CAPA-002877,Preventive,MSAT,2026-05-03,Monitoring,Not Assessed
2878,10414,CAPA-002878,Corrective,Manufacturing,2025-01-31,Closed,Effective
2879,8954,CAPA-002879,Corrective,Manufacturing,2025-10-29,Closed,Effective
2880,2229,CAPA-002880,Corrective and Preventive,Quality,2025-10-19,Closed,Monitoring
2881,2777,CAPA-002881,Corrective,Supplier Quality,2025-07-11,Closed,Effective
2882,8540,CAPA-002882,Corrective and Preventive,Supplier Quality,2025-05-26,Closed,Monitoring
2883,8803,CAPA-002883,Corrective,Laboratory,2025-02-23,Closed,Effective
2884,9335,CAPA-002884,Preventive,Supplier Quality,2024-12-30,Monitoring,Effective
